question,option_1,option_2,option_3,option_4,correctAnswer,explanation,file name
\[ \frac{(2\alpha^{1})^{3}}{(27\alpha^{4})^{-3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(3\alpha^{-3})^{4}}{(1\alpha^{1})^{1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(4\alpha^{2})^{-1}}{(4\alpha^{5})^{1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 8^{74} \cdot 5^{222} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(8\alpha^{1})^{3}}{(9\alpha^{-2})^{-1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{8^{555}} \right) \cdot 2^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 27^{148} \cdot 7^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(8\alpha^{-1})^{1}}{(16\alpha^{-5})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(2\alpha)^3}{(4\alpha^{-5})^{-1}} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 343^{37} \cdot 5^{111} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(1\alpha^{-2})^{2}}{(1\alpha^{1})^{5}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{8^{222}} \right) \cdot 4^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 27^{37} \cdot 7^{111} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{125^{555}} \right) \cdot 5^{111} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{9^{333}} \right) \cdot 27^{222} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(6\alpha^{3})^{-2}}{(8\alpha^{-3})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 125^{222} \cdot 7^{666} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(4\alpha^{-2})^{3}}{(8\alpha^{1})^{5}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 343^{148} \cdot 2^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{9^{222}} \right) \cdot 27^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{4^{555}} \right) \cdot 8^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 27^{74} \cdot 7^{222} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(9\alpha^{1})^{2}}{(16\alpha^{-1})^{7}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 125^{148} \cdot 7^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(4\alpha^{-2})^{1}}{(4\alpha^{-2})^{-3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 8^{222} \cdot 5^{666} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{125^{222}} \right) \cdot 5^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(6\alpha^{7})^{-2}}{(6\alpha^{-2})^{-2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{25^{333}} \right) \cdot 125^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(1\alpha^{-4})^{-1}}{(2\alpha^{-4})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 8^{185} \cdot 5^{555} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(2\alpha^{1})^{3}}{(6\alpha^{4})^{-2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{125^{222}} \right) \cdot 5^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{125^{444}} \right) \cdot 25^{333} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 4^{222} \cdot 7^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{125^{555}} \right) \cdot 5^{333} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{9^{555}} \right) \cdot 27^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{27^{555}} \right) \cdot 9^{444} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 8^{74} \cdot 7^{222} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(6\alpha^{-2})^{5}}{(1\alpha^{3})^{-1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(1\alpha^{3})^{4}}{(3\alpha^{2})^{-2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(4\alpha^{4})^{-3}}{(9\alpha^{-2})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(2x^4)^3}{2x^5} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(8\alpha^{-5})^{1}}{(4\alpha^{-1})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(16\alpha^{-4})^{1}}{(16\alpha^{-1})^{5}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(6\alpha^{-3})^{-2}}{(4\alpha^{-3})^{-3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{4^{222}} \right) \cdot 8^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(4\alpha^{-2})^{1}}{(6\alpha^{2})^{-2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(27\alpha^{-2})^{4}}{(8\alpha^{-1})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{25^{555}} \right) \cdot 125^{222} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 343^{37} \cdot 3^{111} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(3\alpha^{1})^{-5}}{(2\alpha^{-4})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(1\alpha^{-1})^{-1}}{(1\alpha^{-1})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(2\alpha^{5})^{-4}}{(1\alpha^{-2})^{1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{9^{555}} \right) \cdot 3^{222} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 8^{148} \cdot 3^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{4^{555}} \right) \cdot 8^{222} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(1\alpha^{2})^{4}}{(2\alpha^{1})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(9\alpha^{1})^{1}}{(8\alpha^{-5})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 343^{222} \cdot 3^{666} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 27^{37} \cdot 5^{111} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(1\alpha^{3})^{-4}}{(16\alpha^{-1})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ (27 \cdot 9^{n+1})^3 = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{125^{333}} \right) \cdot 5^{222} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 343^{148} \cdot 5^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(1\alpha^{-1})^{3}}{(2\alpha^{7})^{-1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(6\alpha^{-2})^{3}}{(1\alpha^{-1})^{-4}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{27^{555}} \right) \cdot 9^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 25^{222} \cdot 3^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{27^{222}} \right) \cdot 9^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{25^{444}} \right) \cdot 125^{222} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(6\alpha^{-3})^{2}}{(4\alpha^{2})^{-3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(2\alpha^{3})^{-3}}{(3\alpha^{-2})^{-4}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{125^{333}} \right) \cdot 5^{444} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 125^{74} \cdot 3^{222} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{25^{555}} \right) \cdot 125^{444} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(4\alpha^{-1})^{4}}{(2\alpha^{-2})^{-5}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(16\alpha^{2})^{-1}}{(4\alpha^{7})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{25^{222}} \right) \cdot 5^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{25^{555}} \right) \cdot 5^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{25^{222}} \right) \cdot 125^{444} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{27^{333}} \right) \cdot 9^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{125^{333}} \right) \cdot 25^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{4^{444}} \right) \cdot 8^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 9^{222} \cdot 5^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 4^{222} \cdot 5^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{25^{444}} \right) \cdot 5^{222} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{8^{222}} \right) \cdot 2^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(4\alpha^{2})^{-2}}{(3\alpha^{-5})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(16\alpha^{-5})^{-1}}{(1\alpha^{1})^{-2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{8^{333}} \right) \cdot 2^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(6\alpha^{-1})^{4}}{(27\alpha^{3})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(1\alpha^{1})^{-3}}{(4\alpha^{-2})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(16\alpha^{3})^{2}}{(3\alpha^{1})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(3\alpha^{2})^{1}}{(4\alpha^{2})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 125^{148} \cdot 3^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{4^{222}} \right) \cdot 8^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 27^{37} \cdot 2^{111} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(27\alpha^{2})^{-3}}{(1\alpha^{2})^{-4}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{4^{555}} \right) \cdot 8^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 8^{148} \cdot 5^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{4^{222}} \right) \cdot 8^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 27^{222} \cdot 2^{666} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{9^{555}} \right) \cdot 3^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(3y^6)^4}{3y^2} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{4^{222}} \right) \cdot 8^{444} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{4^{555}} \right) \cdot 2^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{27^{333}} \right) \cdot 3^{444} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(9\alpha^{-2})^{-1}}{(6\alpha^{2})^{-3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{9^{333}} \right) \cdot 27^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(16\alpha^{-1})^{2}}{(2\alpha^{-1})^{5}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{9^{555}} \right) \cdot 27^{222} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(1\alpha^{2})^{2}}{(3\alpha^{2})^{5}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{27^{222}} \right) \cdot 3^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(16\alpha^{-1})^{-3}}{(1\alpha^{-2})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ (2n^3)^{-5} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{125^{555}} \right) \cdot 5^{222} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(8\alpha^{1})^{2}}{(1\alpha^{-2})^{6}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{9^{444}} \right) \cdot 27^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{8^{222}} \right) \cdot 2^{444} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 25^{333} \cdot 2^{666} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{4^{222}} \right) \cdot 2^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{25^{444}} \right) \cdot 5^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{25^{555}} \right) \cdot 125^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{4^{222}} \right) \cdot 2^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(1\alpha^{-2})^{-5}}{(4\alpha^{2})^{-3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(3\alpha^{1})^{2}}{(1\alpha^{-2})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(8\alpha^{3})^{4}}{(1\alpha^{2})^{1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 49^{222} \cdot 5^{444} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(3\alpha^{2})^{-2}}{(8\alpha^{-3})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{27^{444}} \right) \cdot 9^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(6\alpha^{4})^{-1}}{(2\alpha^{1})^{-5}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(6\alpha^{-5})^{-2}}{(1\alpha^{-5})^{-1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(16\alpha^{1})^{3}}{(3\alpha^{-1})^{-4}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(4\alpha^{-3})^{1}}{(1\alpha^{2})^{-3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(9\alpha^{2})^{-3}}{(1\alpha^{-3})^{-2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(1\alpha^{-2})^{-4}}{(1\alpha^{-1})^{-3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{25^{555}} \right) \cdot 125^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{4^{333}} \right) \cdot 8^{222} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(16\alpha^{2})^{4}}{(6\alpha^{-3})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(6x^7)^2}{4x^5} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(2\alpha^{-3})^{6}}{(1\alpha^{1})^{1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(4\alpha^{2})^{-2}}{(4\alpha^{1})^{-4}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(4\alpha^{1})^{5}}{(1\alpha^{3})^{2}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(1\alpha^{1})^{-1}}{(1\alpha^{4})^{6}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 343^{74} \cdot 3^{222} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{9^{333}} \right) \cdot 3^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{27^{444}} \right) \cdot 3^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(1\alpha^{2})^{1}}{(27\alpha^{-3})^{-4}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(1\alpha^{2})^{7}}{(6\alpha^{3})^{1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 4^{333} \cdot 7^{666} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(4\alpha^{-1})^{4}}{(9\alpha^{-1})^{-5}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(16\alpha^{-3})^{-1}}{(1\alpha^{1})^{5}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ 49^{333} \cdot 5^{666} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(27\alpha^{-1})^{-3}}{(1\alpha^{3})^{4}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{27^{555}} \right) \cdot 9^{333} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \frac{(1\alpha^{-2})^{2}}{(9\alpha^{-4})^{1}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(1\alpha^{2})^{3}}{(8\alpha^{-2})^{3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{8^{444}} \right) \cdot 2^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{25^{333}} \right) \cdot 5^{111} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ 49^{333} \cdot 3^{666} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \frac{(6\alpha^{-3})^{-3}}{(2\alpha^{4})^{-3}} = \],,,,,1,Laws of Indices (Exponent Rules),
\[ \left( \frac{1}{25^{444}} \right) \cdot 125^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{4^{333}} \right) \cdot 8^{555} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
\[ \left( \frac{1}{4^{444}} \right) \cdot 2^{222} = \],,,,,1,Laws of Indices (Exponent Rules),2017_q2.jpg
